"3564874":{'stabilizer.thrust': 60138.0, 'motor.m1': 39695, 'motor.m2': 39201, 'motor.m3': 41609, 'motor.m4': 40175}
"3564894":{'stabilizer.thrust': 8738.0, 'motor.m1': 40744, 'motor.m2': 39696, 'motor.m3': 39394, 'motor.m4': 39022}
"3564914":{'stabilizer.thrust': 37921.0, 'motor.m1': 39955, 'motor.m2': 40359, 'motor.m3': 38965, 'motor.m4': 36961}
"3564934":{'stabilizer.thrust': 22667.0, 'motor.m1': 40604, 'motor.m2': 35898, 'motor.m3': 38502, 'motor.m4': 40996}
"3564954":{'stabilizer.thrust': 48059.0, 'motor.m1': 38986, 'motor.m2': 37130, 'motor.m3': 40146, 'motor.m4': 40134}
"3564974":{'stabilizer.thrust': 12700.0, 'motor.m1': 34186, 'motor.m2': 41596, 'motor.m3': 45712, 'motor.m4': 36398}
"3564994":{'stabilizer.thrust': 65094.0, 'motor.m1': 36965, 'motor.m2': 42209, 'motor.m3': 44309, 'motor.m4': 36253}
"3565014":{'stabilizer.thrust': 48076.0, 'motor.m1': 40081, 'motor.m2': 38567, 'motor.m3': 41133, 'motor.m4': 39687}
"3565034":{'stabilizer.thrust': 42161.0, 'motor.m1': 40895, 'motor.m2': 37463, 'motor.m3': 38635, 'motor.m4': 40335}
"3565054":{'stabilizer.thrust': 19611.0, 'motor.m1': 44494, 'motor.m2': 34760, 'motor.m3': 34788, 'motor.m4': 42934}
"3565074":{'stabilizer.thrust': 33899.0, 'motor.m1': 45507, 'motor.m2': 37033, 'motor.m3': 35609, 'motor.m4': 42123}
"3565094":{'stabilizer.thrust': 30513.0, 'motor.m1': 41146, 'motor.m2': 41538, 'motor.m3': 40750, 'motor.m4': 38834}
"3565114":{'stabilizer.thrust': 62611.0, 'motor.m1': 39784, 'motor.m2': 40824, 'motor.m3': 41338, 'motor.m4': 38774}
"3565134":{'stabilizer.thrust': 44202.0, 'motor.m1': 43191, 'motor.m2': 38101, 'motor.m3': 37913, 'motor.m4': 40203}
"3565154":{'stabilizer.thrust': 39214.0, 'motor.m1': 42530, 'motor.m2': 36508, 'motor.m3': 38636, 'motor.m4': 41658}
